建案名稱,地址,坪數,價錢,單位,是否完銷
長安幸福匯,新北市蘆洲區 新北市 永樂街27巷與長安街274巷交叉口," 25~35坪 二房(26坪),三房(29、35坪),店面(25坪)",60~65,萬/坪,N
鴻悅玖馥,新北市蘆洲區 新北市 九芎街104號旁," 15.97~28.69坪 一房(15.97坪),二房(23.71、28.69坪)",65~69,萬/坪,N
中山．極,新北市蘆洲區 新北市 中山二路46巷9號," 17~45坪 二房(20.9~22.52坪),三房(31~45坪),1+1房(17坪)",67,萬/坪,N
一品滙,新北市蘆洲區 新北市 水湳街389號, 120~140坪 四房(120、140坪),價格待定,,N
喜福匯No.6,新北市蘆洲區 新北市 三民路483號,N/A,價格待定,,N
新樸建設中央路案(尚未取得建照),新北市蘆洲區 新北市 中央路,N/A,價格待定,,N
奕景建設光華段案,新北市蘆洲區 新北市 九芎街與九芎街167巷交叉口,N/A,價格待定,,N
馨苑,新北市蘆洲區 新北市 成功路58號, 20~27坪 二房(20、27坪),價格待定,,Y
鴻悅微風,新北市蘆洲區 新北市 永安南路二段268號," 22~32坪 二房(22、26、32坪),店面(44~50坪)",52~55,萬/坪,Y
崇利台北京城,新北市蘆洲區 新北市 仁愛街77巷20號," 21~47.45坪 二房(21~26坪),四房(41.83坪),2+1房(29坪)",55,萬/坪,Y
御陽居,新北市蘆洲區 新北市 民權路142巷, 24.68~27.26坪 二房(24.68、27.26坪),57.8,萬/坪,Y
築禾豐,新北市蘆洲區 新北市 光華路15號, 164.32坪 店面(164.32坪),價格待定,,Y
茂楷得勝,新北市蘆洲區 新北市 得勝街68號, 43坪 辦公室(43坪),55,萬/坪,Y
九揚盧登堡,新北市蘆洲區 新北市 光榮路120巷與光明路交叉口," 18.37~34.71坪 一房(18.37坪),二房(19.84、23.31、25.65坪),三房(32.06坪)",55~58,萬/坪,Y
洋溢綠境,新北市蘆洲區 新北市 永康街116號旁, 42坪 三房(42坪),54,萬/坪,Y
崇利中山,新北市蘆洲區 新北市 中山一路73號," 31~38坪 三房(31坪),四房(38坪)",55,萬/坪,Y
希望城市3-城中心,新北市蘆洲區 新北市 三民路378號, 71坪 四房(71坪),52,萬/坪,Y
城市知己-維也納公寓,新北市蘆洲區 新北市 光榮路100號旁," 22~38坪 二房(22坪),三房(32~38坪),2+1房(26坪)",55,萬/坪,Y
仁愛儷境,新北市蘆洲區 新北市 仁愛街35巷14弄5號, 31坪 三房(31坪),48,萬/坪,Y
鷺洲雲硯,新北市蘆洲區 新北市 復興路與中央路交叉路口, 二房(29.61坪),價格待定,,Y
善住,新北市蘆洲區 新北市 長樂路237巷16-22號, 87坪 四房(87坪),50,萬/坪,Y
一品華廈,新北市蘆洲區 新北市 信義路294號, 44坪 三房(44坪),52~53,萬/坪,Y
詮鎔慶悅,新北市蘆洲區 新北市 光華路162巷, 18.75~34.12坪 二房(18.75、22.43、25.57坪),698,萬/戶,Y
夏朶蘆邑,新北市蘆洲區 新北市 水湳街63號對面," 22~30坪 二房(22坪),三房(29~30坪)",1100~1500,萬/戶,Y
涵悅,新北市蘆洲區 新北市 民族路316號, 45~48坪 三房(45、48坪),44~47,萬/坪,Y
御寶皇琚,新北市蘆洲區 新北市 長興路180號, 62坪 四房(62坪),45~48,萬/坪,Y
柏京,新北市蘆洲區 新北市 復興路8號, 24~27坪 二房(24~27坪),50,萬/坪,Y
京雅苑No.2,新北市蘆洲區 新北市 長榮路98號旁," 22.6~61坪 二房(28坪),三房(38~44坪),四房(50~61坪)",47~48,萬/坪,Y
家泰大MINI,新北市蘆洲區 新北市 中興街38號," 18~27坪 一房(18坪),2+1房(25、27坪)",43,萬/坪,Y
夆典里享國,新北市蘆洲區 新北市 中興街101號旁," 20~27坪 二房(25坪),1+1房(20坪),2+1房(27坪)",43,萬/坪,Y
馥悅,新北市蘆洲區 新北市 民族路247號," 二房(35~38坪),四房(58坪),店面(46~51坪)",47~49,萬/坪,Y
百珵,新北市蘆洲區 新北市 長安街28號, 39.8坪 三房(39.8坪),37~43,萬/坪,Y
舞鶴,新北市蘆洲區 新北市 長樂路187號, 84~186坪 四房(84~186坪),75~80,萬/坪,Y
信義一品,新北市蘆洲區 新北市 信義路339號," 27~65坪 二房(27~31坪),三房(37~47坪),四房(65坪)",47~49,萬/坪,Y
御寶第舞集,新北市蘆洲區 新北市 長榮路168巷8號, 39.41~43.68坪 三房(39.41~43.68坪),44~48,萬/坪,Y
御寬庭,新北市蘆洲區 新北市 和平路148號, 54~56坪 四房(54~56坪),46~48,萬/坪,Y
品臻璽,新北市蘆洲區 新北市 正和街," 36.82~46.29坪 三房(36.82坪),四房(46.29坪)",40~45,萬/坪,Y
三多立愛,新北市蘆洲區 新北市 民權路137巷," 19~37坪 一房(19坪),二房(28坪),三房(37坪)",45,萬/坪,Y
永樂,新北市蘆洲區 新北市 永樂街31巷9號, 43~45坪 三房(43~45坪),43~45,萬/坪,Y
陸江聚,新北市蘆洲區 新北市 長樂路8號, 78~80坪 3~4房,52~55,萬/坪,Y
易居,新北市蘆洲區 新北市 光華路73巷3~7號, 37~38坪 三房(37~38坪),42,萬/坪,Y
時上京宴,新北市蘆洲區 新北市 長榮路311號," 27~72坪 二房(27坪),三房(40坪),四房(72坪)",45~50,萬/坪,Y
新天際,新北市蘆洲區 新北市 三民路569號, 83~86坪 四房(83~86坪),48,萬/坪,Y
鴻成涵美,新北市蘆洲區 新北市 民權路118巷7號, 28~42坪 三房(42.39坪),45~49,萬/坪,Y
大渼,新北市蘆洲區 新北市 環提大道168號," 39~60坪 三房(42~48坪),四房(60坪)",38~45,萬/坪,Y
三多立御禧,新北市蘆洲區 新北市 永安南路二段16巷17弄39號," 43.1~56.2坪 三房(43.1坪),四房(56.2坪)",39~42,萬/坪,Y
城市知己Ⅱ倫敦公寓,新北市蘆洲區 新北市 中山一路, 開放格局(66~82坪),103~108,萬/坪,Y
綺麗,新北市蘆洲區 新北市 永康街116號, 三房(40坪),42~47,萬/坪,Y
城市知己Ⅱ雪梨公寓,新北市蘆洲區 新北市 三民路, 20~22坪 二房(20坪),46~52,萬/坪,Y
群曜悠閣,新北市蘆洲區 新北市 長樂路108號, 43坪 三房(43~43坪),45~48,萬/坪,Y
金世首璽,新北市蘆洲區 新北市 長興路71號," 25.48~36.37坪 二房(25.48~28.69坪),三房(36.37坪)",45~47,萬/坪,Y
鄉林淳詠,新北市蘆洲區 新北市 中正路243巷1號," 20.84~40.02坪 一房(20.84坪),二房(27.38坪),三房(40.02坪)",47~52,萬/坪,Y
ik宜家,新北市蘆洲區 新北市 復興路87巷36、38號, 24~39坪 二房(24.89~39.38坪),45~47,萬/坪,Y
蘆逸,新北市蘆洲區 新北市 民族路422巷15弄," 24~46坪 三房(32坪),2+1房(24坪),3+1房(46坪)",42~47,萬/坪,Y
承居100,新北市蘆洲區 新北市 光復路100巷2號," 27~42坪 二房(27~29坪),三房(41坪)",42~45,萬/坪,Y
